APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,Fiscalia Provincial Especializada En Materia Ambiental Del Santa (Ncpp),"03106015200-2017-
0000040000","Jan 9, 2017",En Investigacion Preventiva,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (PELIG.SALUD.PERS.O.BIENES)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2016-
0010570000","Jan 5, 2017",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2016-
0002520000","Jan 4, 2017",Derivado (Califica),ABUSO DE AUTORIDAD. (ACEPTAR NOMBRAMIENTO ILEGAL)
"NÚÑEZ SALAS, JOSÉ ANTONIO",Morado,Arequipa,Fiscalia Provincial Penal Corporativa De Tacna,"02906014500-2016-
0060970000","Jan 4, 2017",Con Investigacion Preliminar,FALSIFICACION DE DOCUMENTOS EN GENERAL
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2016-
0000620000","Dec 22, 2016",Con Archivo (Preliminar),PECULADO (DE USO)
"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Cusco,"01806115500-2016-
0001900000","Dec 22, 2016",Con Investigacion Preliminar,PECULADO (DE USO)
"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,03º Fiscalia Provincial Penal Corporativa De Coronel Portillo(Ncpp),"03006014503-2015-
0014490000","Dec 20, 2016",Con Sobreseimiento,RECEPTACION AGRAVADA (COMERC.BIEN.ESTAD)
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huari,"01306095200-2016-
0002030000","Dec 20, 2016",En Investigacion Preventiva,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (SUSPENS.ACTIV.CONTAMINANTE)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,07º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014507-2016-
0016380000","Dec 19, 2016",Con Investigacion Preliminar,ABUSO DE AUTORIDAD
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,01º Fiscalia Provincial Penal Corporativa De Paita,"02606054501-2016-
0005200000","Dec 12, 2016",Con Investigacion Preliminar,"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCION PUBLICA O DE AUTORIDAD MILITAR O POLICIAL AGRAVADA POR RESISTENCI…"
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Santa,"03106015500-2016-
0002360000","Dec 9, 2016",Con Investigacion Preliminar,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2016-
0061120000","Dec 7, 2016",Con Investigacion Preliminar,OMISION ACTOS FUNCIONALES-1ER.PARRAFO- FUNCIONARIO PUBLICO QUE...
"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,51°Fiscalia Provincial En Lo Penal De Lima,"00506010151-2013-
0004050000","Nov 16, 2016",Archivo Definitivo,COACCION
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Provincial Penal Especializada En Materia Ambiental- Chachapoyas(Ncpp),"01206015200-2015-
0002000000","Nov 14, 2016",Con Acusacion,CONTRA LOS RECURSOS NATURALES. (SIN CONTAR CON PERMISO
"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,01º Fiscalia Provincial Penal Corporativa De Tumbes,"03506014501-2016-
0019030000","Nov 11, 2016",Asignado Pnp (Preliminar),"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCION PUBLICA O DE AUTORIDAD MILITAR O POLICIAL AGRAVADA POR RESISTENCI..."
"FLORES VILLEGAS, JOHAN",Podemos,Moquegua,Fiscalia Provincial Penal Corporativa De Moquegua,"03706014500-2016-
0033080000","Nov 9, 2016",Con Archivo (Preliminar),"DELITO DE PELIGRO COMUN (CONDUCCION, OPERACION O MANIOBRA DE VEHICULO MOTORIZADO EN ESTADO DE EBRIEDAD O DROGADICC..."
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Piura(Ncpp),"02606065500-2015-
0003690000","Nov 4, 2016",Formaliza Investigacion Preparatoria,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024502-2016-
0004280000","Nov 3, 2016",Con Archivo (Califica),ABUSO DE AUTORIDAD
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2014-
0037110000","Oct 31, 2016",Con Acusacion,CONCUSION
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2014-
0035740000","Oct 17, 2016",Con Sobreseimiento,APROPIACION ILICITA
"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,02º Fiscalia Provincial Penal Corporativa De Tumbes,"03506014502-2016-
0027600000","Oct 16, 2016",Asignado Pnp (Preliminar),"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCION PUBLICA O DE AUTORIDAD MILITAR O POLICIAL)"
"LAZO VILLÓN, LESLYE CAROL",Acción Popular,Lima,02ºfiscalia Provincial Penal De San .Juan Miraflores,"00506010167-2016-
0008940000","Sep 30, 2016",Amplia Investigacion Policial,APROPIACION ILICITA COMUN
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Lambayeque,"02406074501-2015-
0012810000","Sep 27, 2016",Con Archivo (Preliminar),USURPACION (DESTRUCCION.ALTERAC.LIMITES)
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2015-
0002000000","Sep 27, 2016",Formaliza Investigacion Preparatoria,DELITO CONTRA LA ADMINISTRACION PUBLICA
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Superior Penal De Apelaciones De Lambayeque,"02406075500-2015-
0000250002","Sep 20, 2016",Audiencia De Apelacion,DELITO CONTRA LA ADMINISTRACION PUBLICA
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Superior Penal De Santa (Ncpp),"03106024502-2016-
0004050001","Sep 19, 2016",Resuelve Exclusion Fiscal,ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,01º Fiscalia Superior Penal De Loreto (Ncpp),"02506015100-2014-
0001840004","Sep 19, 2016",Consulta Resuelta,TRAFICO ILICITO DE DROGAS  (LAVADO DE ACTIVOS - LEY 27765)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Superior Penal De Amazonas(Ncpp),"01206015200-2013-
0001850002","Sep 14, 2016",Audiencia De Apelacion,CONTAMINACION DEL AMBIENTE
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Piura(Ncpp),"02606054501-2012-
0002380000","Sep 7, 2016",Con Acusacion,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,06º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014506-2016-
0005610000","Sep 6, 2016",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBEDIENCIA A ORDEN DE EXAMEN CORPORAL)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074501-2016-
0012340000","Sep 5, 2016",Con Archivo (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Jose L. Ortiz,"02406084501-2016-
0005450000","Sep 1, 2016",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,02º Fiscalia Provincial De Prevencion Del Delito De Loreto (Ncpp),"02506014902-2016-
0001840000","Aug 30, 2016","Con Archivo Definitivo (Inv.
Preven.)",DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"VEGA ANTONIO, JOSÉ ALEJANDRO",UPP,Lima,05º Fiscalia Superior En Lo Penal De Lima,"00506010151-2013-
0001940000","Aug 29, 2016",Denuncia Pendiente,ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,01º Fiscalia Superior Penal De Loreto (Ncpp),"02506015100-2014-
0001840003","Aug 25, 2016",Consulta Resuelta,TRAFICO ILICITO DE DROGAS  (LAVADO DE ACTIVOS - LEY 27765)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Lambayeque,"02406074502-2014-
0021650000","Aug 22, 2016",Formaliza Investigacion Preparatoria,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406075500-2015-
0002870000","Aug 17, 2016",Con Reserva Provisional (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2015-
0006360000","Aug 16, 2016",Formaliza Investigacion Preparatoria,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2015-
0017170000","Aug 16, 2016",Con Archivo (Preliminar),VIOLACIÓN A LA LIBERTAD AL TRABAJO - COACCION LABORAL (A INTEGRAR O NO SINDICATO)
"VIVANCO REYES, MIGUEL ANGEL",Fuerza Popular,La Libertad,Fiscalia Provincial Mixta Corporativa De Viru,"02306114500-2016-
0010720000","Aug 15, 2016",Con Archivo (Preliminar),LESIONES CULPOSAS (GRAVES)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,3° Fiscalia Superior Penal,"00605010108-2016-
0001620000","Aug 12, 2016",Con Dictamen,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,09º Fiscalia Superior En Lo Penal De Lima,"00506010157-2016-
0000250000","Aug 8, 2016",Con Resolucion Emitida,COACCION
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,05º Fiscalia Superior En Lo Penal De Lima,"00505010105-2016-
0005680000","Aug 8, 2016",Exped. Pendiente,FRAUDE EN LA ADMINISTRACION DE PERSONA JURIDICA (ADMIN. O REPRES. DE LA PJ)
"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Abancay,"01406015500-2011-
0003290004","Aug 8, 2016",Audiencia De Apelacion,PECULADO (APROP.O.UTILIZAC.DE.CAUDALES)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2016-
0000290000","Aug 1, 2016",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Lambayeque,"02406054502-2016-
0008450000","Jul 24, 2016",Con Investigacion Preliminar,CONTRA LOS DERECHOS DE AUTOR Y COMPOSITOR (PLAGIO)
"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,03º Fiscalia Provincial Penal Corporativa De Coronel Portillo(Ncpp),"03006014503-2014-
0008670000","Jul 21, 2016",Con Sentencia,OMISIÓN DE ASISTENCIA FAMILIAR (INCUMPLIM.OBLIG.ALIMENTARIA)
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,02º Fiscalia Provincial Penal Corporativa De Cutervo,"02406024502-2014-
0002790000","Jul 18, 2016",En Audiencia,HOMICIDIO
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Espec. En Delitos De Corrupcion De Funcionarios- Cajamarca(Ncpp),"01706045500-2015-
0002280000","Jul 8, 2016",Formaliza Investigacion Preparatoria,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,07º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014902-2015-
0003720000","Jul 7, 2016",Con Archivo (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"LIZANA SANTOS, MÁRTIRES",Fuerza Popular,Piura,03º Fiscalia Superior Penal De Ncpp De Piura,"02606034502-2014-
0000030001","Jul 4, 2016",Audiencia De Apelacion,CONTRA LA FE PUBLICA (FALSEDAD GENERICA)
"CONTRERAS BAUTISTA, CINDY ARLETTE",No agrupado,Lima,04° Fiscalía Superior Penal De Ayacucho(Ncpp),"01606014502-2016-
0001240001","Jul 4, 2016",Resuelve Exclusion Fiscal,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO
"CONTRERAS BAUTISTA, CINDY ARLETTE",No agrupado,Lima,02º Fiscalía Provincial Penal Corporativa De Huamanga(Ncpp),"01606014502-2016-
0001240000","Jun 30, 2016",Formaliza Investigacion Preparatoria,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2013-
0003140001","Jun 16, 2016",Con Sobreseimiento,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Provincial Mixta Corporativa De Olmos,"02406114500-2015-
0005090000","Jun 15, 2016",Con Archivo (Preliminar),USURPACION
"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,Fiscalia Provincial Penal De Sihuas,"01306164500-2014-
0001650000","Jun 13, 2016",Con Acusacion,CONTRA LOS DERECHOS AL SUFRAGIO (SOBORNO ELECTORAL)
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406094500-2016-
0013350000","Jun 13, 2016",Con Investigacion Preliminar,CONCUSION
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0002010000","Jun 9, 2016",Con Investigacion Preliminar,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Santa,"03106015500-2015-
0002190000","Jun 6, 2016",Con Investigacion Preliminar,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Especializada En Delitos De Trafico Ilicito De Drogas – Sede Iquitos (Ncpp),"02506015100-2014-
0002420000","Jun 1, 2016",Formaliza Investigacion Preparatoria,TRAFICO ILICITO DE DROGAS  (LAVADO DE ACTIVOS - LEY 27765)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2015-
0006860000","May 31, 2016",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Abancay,"01406015500-2011-
0003290003","May 30, 2016",Audiencia De Apelacion,PECULADO (APROP.O.UTILIZAC.DE.CAUDALES)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2016-
0001440000","May 30, 2016",Con Investigacion Preliminar,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"SANTILLANA PAREDES, ROBERTINA",APP,San Martín,05º Fiscalia Provincial En Lo Penal De Lima,"00506010118-2013-
0006040000","May 27, 2016",Con Dictamen,CONTRA LA FUNCIÓN JURISDICCIONAL (VIOLAC.PRESUNCION DE VERACIDAD)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2016-
0000200000","May 27, 2016",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBEDIENCIA A ORDEN DE EXAMEN CORPORAL)
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Provincial Penal Corporativa De Paita,"02606054502-2015-
0010640000","May 26, 2016",Con Archivo (Preliminar),APROPIACION ILICITA COMUN
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074503-2014-
0009630000","May 24, 2016",En Audiencia,DELITOS CONTRA LA FE PUBLICA
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,11º Fiscalia Provincial En Lo Penal De Lima,"00506010111-2016-
0000180000","May 19, 2016",Con Result.  Investigacion Policial,FRAUDE EN LA ADMINISTRACION DE PERSONA JURIDICA (OCULT.VERDADERA.SITUACION)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,07º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014507-2015-
0016410000","May 16, 2016",Con Archivo (Preliminar),ABUSO DE AUTORIDAD (OMISION ILEGAL DE ACTO DE SU CARGO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2015-
0014380000","May 11, 2016",Con Archivo (Preliminar),VIOLACIÓN A LA LIBERTAD AL TRABAJO - COACCION LABORAL (A INTEGRAR O NO SINDICATO)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074501-2014-
0032310000","May 5, 2016",Con Archivo (Preliminar),"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCIONES)"
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01º Fiscalia Provincial Penal Especializada En Prevencion Del Delito De Trujillo,"02306014901-2015-
0007080000","May 4, 2016","Con Archivo Definitivo (Inv.
Preven.)",ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,03º Fiscalia Superior Penal De Loreto (Ncpp),"02506014506-2015-
0002870001","May 2, 2016",Impugnacion Resuelta - Fiscal Superior,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001610000","Apr 28, 2016",Con Investigacion Preliminar,DELITO CONTRA LA ADMINISTRACION PUBLICA
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001690000","Apr 28, 2016",Con Investigacion Preliminar,DELITO CONTRA LA ADMINISTRACION PUBLICA
"LIZANA SANTOS, MÁRTIRES",Fuerza Popular,Piura,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Piura(Ncpp),"02606065500-2016-
0000620000","Apr 26, 2016",Asignado Pnp (Preliminar),CONCUSION
"CONTRERAS BAUTISTA, CINDY ARLETTE",No agrupado,Lima,04º Fiscalía Provincial Penal Corporativa De Huamanga(Ncpp),"01606014504-2016-
0002100000","Apr 26, 2016",Con Archivo (Califica),CONTRA LA FE PUBLICA (FALSA CERTIFICACION MEDICA)
"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Abancay,"01406015500-2011-
0003290002","Apr 25, 2016",Audiencia De Apelacion,PECULADO (APROP.O.UTILIZAC.DE.CAUDALES)
"VIVANCO REYES, MIGUEL ANGEL",Fuerza Popular,La Libertad,"Comisaria: Depapie (Depart.
Patrullaje A Pie)",DISTRITO JUDICIAL: LA LIBERTAD,"Apr 24, 2016",Detencion,DELITO DE PELIGRO COMUN. (IMPRUDENCIA CONDUCCION VEHICULAR)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,01º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506015100-2014-
0001840000","Apr 20, 2016",Formaliza Investigacion Preparatoria,TRAFICO ILICITO DE DROGAS  (LAVADO DE ACTIVOS - LEY 27765)
"FLORES VILLEGAS, JOHAN",Podemos,Moquegua,Fiscalia Provincial Prevencion Del Delito Ilo,"03706020900-2016-
0002190000","Apr 11, 2016","Con Archivo Definitivo (Inv.
Preven.)",CONTRA LOS DERECHOS AL SUFRAGIO (VIOLACION DE SECRETO ELECTORAL)
"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,02º Fiscalia Superior Penal De Pasco (Ncpp),"03806014503-2014-
0001470003","Apr 6, 2016",Consulta Resuelta,COACCION
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Provincial Penal Especializada En Anticorrupcion - Chachapoyas(Ncpp),"01206015500-2015-
0000260000","Apr 4, 2016",Formaliza Investigacion Preparatoria,CONCUSION (COLUSION SIMPLE)
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,Fiscalia Provincial Penal Especializada En Materia Ambiental,"00506010170-2016-
0000540000","Apr 4, 2016",Derivado,CONTAMINACION DEL AMBIENTE
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Especializada En Delitos De Corrupcion De Funcionarios De San Martin - Sede Tara,"02806015500-2015-
0001910000","Mar 17, 2016",Con Investigacion Preliminar,CONCUSION (COLUSION ILEGAL)
"COLUMBUS MURATA, DIETHELL",Fuerza Popular,Lima,11º Fiscalia Provincial En Lo Penal De Lima,"00506010111-2013-
0005260000","Mar 17, 2016",Archivo Definitivo,"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCIONES)"
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03º Fiscalia Superior Penal De La Libertad,"02306014502-2013-
0014990003","Mar 14, 2016",Audiencia De Apelacion,APROPIACION ILICITA(BIEN.MUEB.SUM.DINER)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,Fiscalia Provincial Civil Y Familia De La Molina- Cieneguilla,"00506010612-2014-
0001500000","Mar 11, 2016",Archivo Definitivo,MALTRATO FISICO Y SICOLOGICO
"BURGA CHUQUIPIONDO, RICARDO MIGUEL",Acción Popular,Lima,35º Fiscalia Provincial En Lo Penal De Lima,"00506010135-2011-
0000310000","Mar 8, 2016",Con Resolucion Emitida,COACCION
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014901-2015-
0006190000","Mar 8, 2016","Con Archivo Definitivo (Inv.
Preven.)",USURPACION
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2015-
0012170000","Mar 1, 2016",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,06º Fiscalia Provincial Penal Corporativa De Huaraz,"01306014506-2015-
0003910000","Feb 26, 2016",Con Archivo (Preliminar),CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,04º Fiscalia Provincial Penal Corporativa De Coronel Portillo(Ncpp),"03006014504-2012-
0001360000","Feb 25, 2016",Con Acusacion,"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USO ILICITO DE INSIG.GRAD.ETC)"
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque,"02406054501-2015-
0002920000","Feb 23, 2016",Con Archivo (Preliminar),ABUSO DE AUTORIDAD (NOMBRAMIENTOS ILEGALES.X.FUNC.PUB)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Superior Penal De Loreto (Ncpp),"02506015100-2014-
0002420002","Feb 19, 2016",Consulta Resuelta,TRAFICO ILICITO DE DROGAS  (LAVADO DE ACTIVOS - LEY 27765)
"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,2º Fiscalia Superior Penal Transitoria De Tumbes,"03506090601-2007-
0001040005","Feb 12, 2016",Con Dictamen,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
